Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-April-2023,475.70,482.00,475.70,481.50,480.265489666268795061,228717,5442,109844882.00,79214,34.63,6.30,5.80
26-April-2023,472.35,479.55,472.35,478.05,477.158228422603461879,429651,7342,205011510.00,102701,23.90,7.20,5.70
25-April-2023,471.05,476.25,471.05,473.30,474.285400772582279296,279323,4806,132478821.00,81800,29.28,5.20,2.25
24-April-2023,471.00,475.90,468.50,475.05,472.450595001843601528,425797,7619,201168046.00,97152,22.82,7.40,4.05
21-April-2023,476.15,476.80,467.20,471.00,470.786635947766042605,450971,7415,212311120.00,123712,27.43,9.60,-5.15
20-April-2023,472.60,479.70,469.25,476.80,474.334527201504350180,524346,10280,248715412.00,172316,32.86,10.45,4.20
19-April-2023,472.95,475.60,468.00,468.95,472.158714840646673782,410346,7836,193748440.00,96043,23.41,7.60,-4.00
18-April-2023,472.00,483.50,468.15,472.95,475.814999434962999390,805257,11916,383153359.00,148918,18.49,15.35,0.95
17-April-2023,470.00,472.85,465.75,471.90,470.029358521869409573,1031898,25730,485022355.00,602823,58.42,7.10,1.90
13-April-2023,464.40,471.90,463.05,469.55,468.094487802112662748,529190,9832,247710922.00,138291,26.13,8.85,5.15
12-April-2023,459.15,468.50,458.50,465.25,463.966634935664119702,1178658,24142,546857986.00,602258,51.10,10.00,6.10
11-April-2023,463.85,464.05,455.80,458.75,459.711454276630492554,517405,9208,237857005.00,138463,26.76,8.25,-5.10
10-April-2023,450.05,473.10,450.05,461.05,465.609995911672708521,2059522,26922,958934030.00,541638,26.30,23.05,11.00
6-April-2023,426.05,439.00,423.75,437.55,433.941401386333649253,430488,9121,186806566.00,124916,29.02,15.25,11.50
5-April-2023,421.50,428.80,421.50,426.40,426.038292115444944055,306016,6141,130374534.00,75449,24.66,7.30,4.90
3-April-2023,423.10,424.90,419.45,424.25,422.377644397075596940,267405,6294,112945894.00,54315,20.31,5.45,1.15
31-March-2023,410.05,421.80,410.05,420.60,417.734723813249140845,357910,8160,149511435.00,96336,26.92,11.75,10.55
29-March-2023,401.10,410.50,401.10,409.15,406.384413047472608237,517035,13005,210114965.00,223634,43.25,9.40,8.05
28-March-2023,414.80,414.80,400.40,401.70,405.215023344148136424,303288,7046,122896854.00,136736,45.08,14.40,-13.10
27-March-2023,413.40,418.40,410.15,411.85,413.475235679232533150,180542,5819,74649646.00,64838,35.91,8.25,-1.55
24-March-2023,419.70,420.50,414.85,416.25,417.927861795243457109,160747,4937,67180650.00,50638,31.50,5.65,-3.45
23-March-2023,415.60,422.55,415.60,419.10,420.176167658364488441,284865,7091,119693484.00,91465,32.11,6.95,3.50
22-March-2023,415.00,418.35,413.85,416.05,416.102067423278178475,226272,4950,94152247.00,53729,23.75,4.50,1.05
21-March-2023,412.20,413.90,407.85,412.40,411.269198354823244429,198155,5688,81495048.00,54104,27.30,6.05,0.20
20-March-2023,414.60,416.80,405.50,410.75,409.523047968465351876,315082,9337,129033341.00,104343,33.12,11.30,-3.85
17-March-2023,418.40,423.15,414.60,418.95,418.916723068377544495,214237,6650,89747462.00,59554,27.80,8.55,0.55
16-March-2023,413.50,418.70,405.00,415.65,412.713604430239922235,339485,8260,140110078.00,66073,19.46,13.70,2.15
15-March-2023,421.40,424.75,410.15,411.25,416.573654153019232384,571536,17900,238086840.00,255520,44.71,14.60,-10.15
14-March-2023,422.40,424.05,413.55,416.75,418.467356164430227527,293547,8543,122839837.00,87533,29.82,10.50,-5.65
13-March-2023,435.00,437.00,419.35,422.40,427.918031598984417893,358809,9500,153540841.00,107951,30.09,17.65,-12.60
10-March-2023,433.85,437.85,431.15,435.75,435.441344888764851287,401312,8372,174747837.00,76582,19.08,6.70,1.90
9-March-2023,438.30,442.00,431.35,432.20,435.214524869697283490,521478,12471,226954800.00,148124,28.40,10.65,-6.10
8-March-2023,438.35,441.25,436.20,439.45,438.636688575493902276,262147,6613,114987292.00,81369,31.04,5.05,1.10
6-March-2023,431.00,441.30,430.00,439.95,436.961557088014367221,396458,8703,173236905.00,151679,38.26,11.30,8.95
3-March-2023,422.00,430.55,422.00,428.00,426.118240832443139307,231223,5584,98528338.00,76244,32.97,8.55,6.00
2-March-2023,425.05,426.00,419.60,420.45,422.274735471353933265,189677,5303,80095805.00,51691,27.25,6.40,-4.60
1-March-2023,421.00,428.00,421.00,425.95,425.596484039314108802,175713,4942,74782835.00,58096,33.06,7.00,4.95
28-February-2023,418.20,424.80,418.20,420.60,421.890199557649293363,240081,6871,101287821.00,64307,26.79,6.60,2.40
27-February-2023,427.70,428.25,413.35,417.90,418.382712946308180102,381939,10266,159796675.00,111790,29.27,14.90,-9.80
24-February-2023,434.50,436.85,427.00,427.70,429.549178383711884024,421608,11816,181101370.00,120081,28.48,9.85,-6.80
23-February-2023,427.20,436.50,427.10,433.20,432.023014548277197201,539789,14391,233201271.00,199653,36.99,9.40,6.00
22-February-2023,436.00,436.00,428.50,429.50,431.334369588895715801,572896,17083,247109735.00,229832,40.12,7.50,-6.50
21-February-2023,445.95,445.95,435.50,436.55,440.235600264108439818,283217,6735,124682206.00,98266,34.70,10.45,-9.40
20-February-2023,441.45,445.20,436.50,442.85,441.624646246306280416,320138,7993,141380831.00,81447,25.44,8.70,1.40
17-February-2023,435.60,442.25,435.60,439.90,440.072448704282788788,226091,4990,99496420.00,53606,23.71,6.65,4.30
16-February-2023,444.05,447.90,440.60,441.55,443.568892101876420025,251756,5624,111671130.00,71459,28.38,7.30,-2.50
15-February-2023,438.20,444.80,438.10,444.00,441.032063593683311993,299904,5759,132267280.00,49579,16.53,6.70,5.80
14-February-2023,441.20,444.20,434.40,440.35,439.451786747804805450,604730,13510,265749679.00,197564,32.67,9.80,-0.85
13-February-2023,445.30,446.90,439.05,441.10,442.469711539910830291,331727,7626,146779150.00,93613,28.22,7.85,-4.20
10-February-2023,437.00,447.75,431.30,445.60,441.042954076503888683,453624,8198,200067669.00,98611,21.74,16.45,8.60
9-February-2023,439.05,440.60,433.65,436.65,436.171368021334341751,253863,6072,110727772.00,58495,23.04,6.95,-2.40
8-February-2023,435.65,441.00,431.60,440.10,437.137032214365376418,342518,7827,149727302.00,82056,23.96,9.40,4.45
7-February-2023,442.00,443.25,432.95,435.25,436.831165469680651668,336122,7245,146828565.00,83752,24.92,10.30,-6.75
6-February-2023,444.00,447.10,439.50,441.90,442.609109812852757698,302970,7654,134097282.00,74700,24.66,7.60,-2.10
3-February-2023,445.55,450.75,442.40,445.45,445.905437772070742946,439224,9606,195852370.00,99860,22.74,8.35,-0.10
2-February-2023,446.00,449.10,440.90,444.65,444.425757967781561692,429009,10110,190662650.00,96061,22.39,8.20,-1.35
1-February-2023,455.05,461.30,437.50,446.65,452.352032965017724756,2508356,44110,1134659936.00,1097423,43.75,23.80,-8.40
31-January-2023,443.55,454.85,440.95,452.15,450.046277955931943140,846645,17112,381029431.00,286162,33.80,13.90,8.60
30-January-2023,445.00,450.10,437.70,443.55,443.889399954101786612,819204,17326,363635972.00,282195,34.45,12.40,-1.45
27-January-2023,440.00,453.20,435.85,445.55,445.067834265653580295,2478762,36302,1103217235.00,790540,31.89,17.35,5.55
25-January-2023,423.20,427.00,417.70,419.00,421.035345188682837668,787830,11941,331704276.00,147438,18.71,9.30,-4.20
24-January-2023,409.10,423.80,409.10,422.10,419.509839755870300171,2278461,40368,955836809.00,1392491,61.12,14.70,13.00
23-January-2023,406.50,411.00,405.05,408.45,408.970357447019621137,362823,7497,148383852.00,108977,30.04,5.95,1.95
20-January-2023,404.00,412.40,401.30,403.10,406.770985779373187905,550468,9319,223914411.00,96101,17.46,11.10,-0.90
19-January-2023,406.90,407.70,400.00,400.75,403.990544969958581438,520781,8714,210390600.00,134863,25.90,7.70,-6.15
18-January-2023,415.40,416.00,407.60,408.40,410.154681600805436697,317840,7147,130363564.00,141613,44.55,8.40,-7.00
17-January-2023,411.10,419.35,411.10,415.25,416.668187649209006528,807592,18246,336497895.00,421306,52.17,8.25,4.15
16-January-2023,412.60,414.85,407.80,413.15,411.405658381612301023,269441,7353,110849552.00,65046,24.14,7.05,0.55
13-January-2023,412.20,416.40,408.00,411.45,411.627206403998263466,472205,9057,194372425.00,59303,12.56,8.40,-0.75
12-January-2023,419.20,420.45,410.00,412.20,414.652297383926274657,489818,10791,203104159.00,112185,22.90,10.45,-7.00
11-January-2023,415.55,419.95,413.55,418.05,417.540041785323666949,1476595,28375,616537538.00,655560,44.40,6.40,2.50
10-January-2023,399.30,417.70,399.30,413.05,412.089290242524833883,1959923,28422,807663278.00,530938,27.09,18.40,13.75
9-January-2023,386.00,392.50,384.85,389.40,389.930749669454336029,986248,20398,384568422.00,467263,47.38,7.65,3.40
6-January-2023,386.00,388.30,381.00,382.15,384.281063592592645056,705947,27269,271282064.00,343498,48.66,7.30,-3.85
5-January-2023,388.40,388.70,382.55,387.00,385.988627744744604148,854360,23485,329773244.00,271709,31.80,6.15,-1.40
4-January-2023,395.15,395.15,385.00,385.75,387.398644188683926071,902928,32104,349793083.00,521850,57.80,10.15,-9.40
3-January-2023,395.50,398.20,393.00,394.00,395.355693561269790163,323014,8450,127705424.00,109075,33.77,5.20,-1.50
2-January-2023,392.00,396.00,390.75,394.80,394.083976990899437224,867309,20712,341792580.00,394073,45.44,5.25,2.80
30-December-2022,391.00,392.10,387.05,388.10,389.839114093810032314,717322,20306,279640173.00,278314,38.80,5.05,-2.90
29-December-2022,389.50,390.15,383.00,385.90,385.318319320718502910,1006593,33196,387858723.00,420130,41.74,7.15,-3.60
28-December-2022,394.15,395.95,390.60,391.40,392.936863176025014584,647942,19972,254600297.00,238127,36.75,5.35,-2.75
27-December-2022,392.00,397.20,388.25,394.15,393.966606366434986829,1102815,25629,434472283.00,323769,29.36,8.95,2.15
26-December-2022,378.30,390.60,375.50,384.85,384.942947971920175044,781059,16413,300663154.00,277368,35.51,15.10,6.55
23-December-2022,390.00,390.05,376.60,378.30,381.785796293722335413,1769862,20310,675708173.00,1345149,76.00,13.45,-11.70
22-December-2022,403.50,404.75,390.20,394.35,395.512671826673484233,1480489,51143,585552160.00,611910,41.33,14.55,-9.15
21-December-2022,412.00,414.40,401.00,402.90,407.078886892575105502,981253,28833,399447379.00,333218,33.96,13.40,-9.10
20-December-2022,417.50,417.90,408.00,410.60,410.948379948960795544,371871,9312,152819785.00,126489,34.01,9.90,-6.90
19-December-2022,422.40,422.95,415.75,417.90,418.243507188560826675,294287,6535,123083627.00,88774,30.17,7.20,-4.50
16-December-2022,416.05,427.75,413.10,421.25,418.820683806375680664,714559,10056,299272089.00,307267,43.00,14.65,5.20
15-December-2022,419.00,422.55,415.70,416.65,419.625398035779140438,663571,15857,278451245.00,357629,53.89,6.85,-2.35
14-December-2022,420.00,421.45,417.45,417.95,419.180492117810455176,558728,12535,234207878.00,279110,49.95,4.00,-2.05
13-December-2022,419.50,421.30,417.30,418.50,419.006261245052177042,305690,5734,128086024.00,79042,25.86,4.00,-1.00
12-December-2022,411.75,416.95,408.00,414.10,413.757346363697396044,551123,17308,228031190.00,212994,38.65,8.95,2.35
9-December-2022,419.95,420.90,409.60,413.35,414.687710423211510356,754729,24299,312976841.00,315248,41.77,11.30,-6.60
8-December-2022,420.70,421.30,415.65,417.20,417.975337133660747850,1816861,17183,759403089.00,240659,13.25,5.65,-3.50
7-December-2022,426.60,427.30,419.05,420.10,421.645995804803461359,775649,23027,327049295.00,364095,46.94,8.25,-6.50
6-December-2022,428.00,431.30,425.70,427.30,428.327355674457899183,266325,6345,114074283.00,87283,32.77,5.60,-0.70
5-December-2022,434.00,437.40,427.80,428.70,430.540504108785525343,354606,7972,152672246.00,149781,42.24,9.60,-5.30
2-December-2022,438.55,441.05,434.80,435.30,436.880290672218443737,577833,13972,252443849.00,244776,42.36,6.25,-3.25
1-December-2022,442.30,443.40,436.80,438.30,439.756821574918204631,377772,6817,166127814.00,106989,28.32,6.60,-4.00
30-November-2022,433.00,440.90,433.00,439.35,437.404385895137456939,490299,8356,214458933.00,203809,41.57,7.90,6.35
29-November-2022,432.90,437.85,429.55,433.05,433.534181689993992324,402818,7634,174635372.00,192184,47.71,8.30,0.15
28-November-2022,434.45,440.00,432.40,433.20,436.041092345603980798,842444,19519,367340202.00,525559,62.38,7.60,-1.25
25-November-2022,424.25,435.40,424.25,433.25,430.277585134529798293,620606,10020,267032851.00,187093,30.15,11.15,9.00
24-November-2022,423.60,425.30,420.65,423.35,422.620278710398732892,601054,13436,254017609.00,338230,56.27,4.65,-0.25
23-November-2022,426.10,429.25,423.00,424.15,426.956721734550902974,514577,5911,219702109.00,320882,62.36,6.25,-1.95
22-November-2022,421.80,426.35,421.05,424.65,424.335951768292268940,441867,5617,187500054.00,271952,61.55,5.30,2.85
21-November-2022,426.30,427.50,420.00,421.05,422.816783970827533475,510070,7847,215666157.00,153954,30.18,7.50,-5.25
18-November-2022,423.55,426.40,421.10,423.55,425.101233783508056913,1548732,14056,658367884.00,,,5.30,0.00
17-November-2022,421.20,427.50,419.70,423.70,423.554503774673928431,826429,10003,350037725.00,459279,55.57,7.80,2.50
16-November-2022,437.90,438.25,429.50,431.40,434.382127429495033160,521559,8233,226555908.00,244133,46.81,8.75,-6.50
15-November-2022,435.00,438.50,434.25,437.05,437.092711298559946416,764416,9831,334120662.00,233357,30.53,4.25,2.05
14-November-2022,423.35,437.60,423.35,433.60,433.801885311211098612,1706880,31736,740447762.00,1051979,61.63,14.25,10.25
11-November-2022,418.05,425.40,414.70,423.55,420.812912617788242824,1549709,28701,652137558.00,706943,45.62,10.70,5.50
10-November-2022,418.15,420.10,409.30,412.20,413.743675313528406444,1187213,18821,491201870.00,507818,42.77,10.80,-5.95
9-November-2022,437.20,441.10,432.00,433.00,436.471357911034857931,597425,9681,260758901.00,149973,25.10,9.10,-4.20
7-November-2022,427.25,437.45,427.25,434.90,432.951508186764452090,1494974,30053,647251248.00,864827,57.85,10.20,7.65
4-November-2022,416.25,426.00,416.25,425.35,422.398866414986239423,488715,7138,206432662.00,150149,30.72,9.75,9.10
3-November-2022,418.55,423.20,414.45,416.25,417.914847389399922552,431261,7299,180230375.00,123445,28.62,8.75,-2.30
2-November-2022,421.50,425.00,420.00,422.10,422.329046080800933717,907341,18429,383196459.00,441396,48.65,5.00,0.60
1-November-2022,414.00,422.45,412.85,421.50,417.546985888590670333,789503,11480,329654598.00,260137,32.95,9.60,7.50
31-October-2022,413.50,416.15,411.35,412.60,412.977320889026618846,438862,7692,181240053.00,195486,44.54,4.80,-0.90
28-October-2022,407.50,411.25,406.10,409.85,408.675456724385643567,587444,6986,240073945.00,109431,18.63,5.15,2.35
27-October-2022,405.55,411.55,404.00,407.65,408.169449212185628312,1113968,20381,454687705.00,581549,52.21,7.55,2.10
25-October-2022,404.00,410.40,403.35,404.60,407.329263135788033761,704716,9497,287051449.00,230148,32.66,7.05,0.60
24-October-2022,403.00,404.85,400.05,401.55,402.159100568453487754,150584,5613,60558726.00,,,4.80,-1.45
21-October-2022,397.10,402.35,394.75,397.95,398.859012279931583581,416859,7266,166267969.00,83018,19.92,7.60,0.85
20-October-2022,397.50,399.85,393.10,398.05,396.553864668917054115,753648,17298,298862027.00,253758,33.67,6.75,0.55
19-October-2022,405.15,407.10,397.50,399.05,402.943868060941464119,608584,16703,245225191.00,211285,34.72,9.60,-6.10
18-October-2022,400.20,406.50,400.20,404.30,403.712129574594548696,423972,7914,171162639.00,143722,33.90,6.30,4.10
17-October-2022,394.00,398.85,392.30,396.10,395.968707918349932669,375015,7511,148494205.00,121025,32.27,6.55,2.10
14-October-2022,405.15,409.00,395.35,396.20,401.633103498892961846,490498,10300,197000234.00,143133,29.18,13.65,-8.95
13-October-2022,396.00,403.40,394.50,398.95,397.818521116393456818,461916,9609,183758740.00,118741,25.71,8.90,2.95
12-October-2022,395.00,398.20,391.20,396.50,394.784913722150254431,558892,12752,220642130.00,137191,24.55,7.00,1.50
11-October-2022,396.95,399.45,391.45,393.30,396.036507896859622649,3402935,34031,1347686494.00,2560951,75.26,8.00,-3.65
10-October-2022,403.10,403.95,393.15,395.95,396.167605339101044680,2184113,64701,865274817.00,1100499,50.39,10.80,-7.15
7-October-2022,414.00,414.00,408.70,412.20,411.641392660091386734,379705,7608,156302295.00,85371,22.48,5.30,-1.80
6-October-2022,409.00,417.50,409.00,414.00,414.761430593756157624,1101277,23551,456767224.00,390297,35.44,8.50,5.00
4-October-2022,406.00,408.95,402.95,407.95,406.475648330650783677,464732,8756,188902241.00,137556,29.60,6.00,1.95
3-October-2022,405.90,406.70,395.50,397.65,400.549245695231170269,1488059,40185,596040910.00,397304,26.70,11.20,-8.25
30-September-2022,397.50,408.25,392.40,404.65,399.813824669214780477,1504904,37095,601681424.00,364655,24.23,15.85,7.15
29-September-2022,409.40,413.35,399.50,402.30,405.624047161022937354,693454,12599,281281618.00,148490,21.41,13.85,-7.10
28-September-2022,395.00,406.40,392.75,399.05,401.287853435945009337,1235337,30464,495725733.00,279046,22.59,13.65,4.05
27-September-2022,403.00,404.20,390.45,398.80,397.321067069980485163,1853974,46875,736622928.00,495942,26.75,13.75,-4.20
26-September-2022,416.00,417.65,393.35,397.65,400.599783374170412319,1232540,30225,493755257.00,,,24.30,-18.35
23-September-2022,431.50,432.00,420.65,423.05,424.504259042816842800,980502,31153,416227275.00,394743,40.26,11.35,-8.45
22-September-2022,425.95,434.50,421.00,432.30,429.029201589699669935,1039190,23634,445842856.00,253665,24.41,13.50,6.35
21-September-2022,434.00,435.95,425.45,427.70,430.181955579301313340,688778,23080,296299867.00,237169,34.43,10.50,-6.30
20-September-2022,429.70,443.20,429.70,434.25,437.969348069184353522,1156273,24933,506412132.00,403478,34.89,13.50,4.55
19-September-2022,431.90,431.90,424.10,425.50,431.082502538743432381,2038410,15056,878722884.00,1623876,79.66,7.80,-6.40
16-September-2022,446.70,446.70,429.30,432.40,436.401068212997537863,880536,18011,384266851.00,322426,36.62,17.40,-14.30
15-September-2022,452.05,455.70,445.35,447.00,449.491880774052186370,759432,20495,341358518.00,233347,30.73,10.35,-5.05
14-September-2022,446.70,454.65,446.70,450.20,451.225151722287883430,890937,21933,402013183.00,333854,37.47,7.95,3.50
13-September-2022,454.00,458.85,453.60,456.95,455.848071445822264047,960616,22600,437894951.00,577499,60.12,5.25,2.95
12-September-2022,447.10,452.80,447.00,451.00,449.962162839949461192,941059,21617,423440943.00,604987,64.29,5.80,3.90
9-September-2022,446.20,449.50,440.60,446.00,445.151004523048315895,1289617,27876,574074303.00,,,8.90,-0.20
8-September-2022,450.00,452.90,440.00,442.30,445.265918802624831860,1345610,33290,599154273.00,548456,40.76,12.90,-7.70
7-September-2022,454.00,456.50,443.75,445.85,448.108126761819457853,1547406,44359,693405204.00,741451,47.92,12.75,-8.15
6-September-2022,462.30,463.75,456.65,457.80,459.449282931604222918,608868,16923,279743966.00,199123,32.70,7.10,-4.50
5-September-2022,461.15,463.85,457.20,459.00,460.432638776735299584,656342,18842,302201279.00,218928,33.36,6.65,-2.15
2-September-2022,471.15,471.85,460.40,462.15,465.419530249563204738,377179,8050,175546473.00,,,11.45,-9.00
1-September-2022,464.00,474.40,462.30,466.75,468.781793235892821943,512381,11155,240194884.00,109223,21.32,12.10,2.75
30-August-2022,458.50,472.30,457.95,471.00,466.913962099936585176,1236304,21587,577247599.00,660473,53.42,14.35,12.50
29-August-2022,448.40,457.00,448.40,453.35,453.594432248103503215,568021,10185,257651163.00,167988,29.57,8.60,4.95
26-August-2022,463.10,470.30,463.10,464.80,466.921648488043848376,455205,9043,212545069.00,77631,17.05,7.20,1.70
25-August-2022,465.15,468.90,457.45,459.05,464.052842108656062144,310245,7193,143970074.00,79122,25.50,11.45,-6.10
24-August-2022,458.00,464.90,457.80,463.10,461.535818969468609480,425431,8385,196351645.00,79709,18.74,7.10,5.10
23-August-2022,450.00,462.10,447.75,460.15,454.718315491422499350,620169,13484,282002203.00,141773,22.86,14.35,10.15
22-August-2022,469.65,469.65,452.90,454.45,460.826535775519591853,478260,12517,220394899.00,152135,31.81,16.75,-15.20
19-August-2022,486.90,488.15,468.00,470.80,476.377847913421492156,515509,12470,245577068.00,198561,38.52,20.15,-16.10
18-August-2022,483.00,486.90,479.30,484.75,483.361261834514402750,804638,18507,388930839.00,,,7.60,1.75
17-August-2022,491.10,494.50,484.05,485.40,489.478500169477551095,545795,10846,267154918.00,170078,31.16,10.45,-5.70
16-August-2022,478.50,491.30,478.05,489.70,484.394980314461475003,591551,10568,286544335.00,185575,31.37,13.25,11.20
12-August-2022,475.55,481.00,470.00,477.50,477.815221584015373070,855522,19433,408781434.00,440705,51.51,11.00,1.95
11-August-2022,481.20,484.25,475.55,476.65,479.765550126110858395,1057403,22728,507305532.00,589313,55.73,8.70,-4.55
10-August-2022,469.10,477.20,463.50,475.60,470.369891431810410704,435763,8027,204969795.00,100370,23.03,13.70,6.50
8-August-2022,466.00,471.75,464.45,468.10,468.242632152544839670,872609,19192,408592735.00,356656,40.87,7.30,2.10
5-August-2022,468.60,472.90,464.40,465.40,468.732272391352701025,418119,8269,195985869.00,76442,18.28,8.50,-3.20
4-August-2022,470.50,480.00,456.65,468.70,465.955888132089433824,674331,11389,314208500.00,113852,16.88,23.35,-1.80
3-August-2022,474.95,476.15,459.35,467.70,466.216313352186116922,760984,12821,354783155.00,154160,20.26,16.80,-7.25
2-August-2022,479.25,479.80,469.15,476.05,474.897515980355119002,1654375,36128,785658578.00,833382,50.37,10.65,-3.20
1-August-2022,451.10,480.90,451.10,479.25,463.387251728359308984,6640257,75647,3077010442.00,4689124,70.62,29.80,28.15
29-July-2022,444.35,452.45,444.35,449.65,449.116973708332751010,1216393,23297,546302743.00,662593,54.47,8.10,5.30
28-July-2022,438.80,449.10,427.35,442.35,439.045943855660977163,1511497,20832,663616627.00,279119,18.47,21.75,3.55
27-July-2022,441.45,444.95,436.00,443.95,442.565394774980722008,548553,8930,242770575.00,98498,17.96,8.95,2.50
26-July-2022,449.40,449.40,439.80,441.05,444.086147061514804573,448071,7684,198982124.00,105568,23.56,9.60,-8.35
25-July-2022,458.20,458.20,446.50,449.50,451.053002338932596215,470300,10061,212130227.00,109406,23.26,11.70,-8.70
22-July-2022,455.00,459.90,452.20,454.85,456.088288995867554093,443079,7515,202083143.00,85468,19.29,7.70,-0.15
21-July-2022,453.90,455.50,450.05,454.75,453.417636185373225671,320262,7157,145212439.00,80823,25.24,5.45,0.85
20-July-2022,453.80,460.75,452.00,453.35,456.844954516298326433,548768,12641,250701892.00,161483,29.43,8.75,-0.45
19-July-2022,447.20,451.75,444.35,448.95,448.411051533968701760,856406,20172,384021915.00,433114,50.57,7.40,1.75
18-July-2022,443.00,453.75,443.00,450.90,442.047410856353417426,2862066,12909,1265168865.00,2486981,86.89,10.75,7.90
15-July-2022,429.00,441.60,429.00,440.05,435.481530860892170040,552787,10315,240728529.00,147248,26.64,12.60,11.05
14-July-2022,427.55,431.15,423.35,427.90,427.417255140234751008,605663,14272,258870817.00,214139,35.36,7.80,0.35
13-July-2022,433.60,435.80,425.90,427.10,430.182796758523945882,345028,8962,148425110.00,87529,25.37,9.90,-6.50
12-July-2022,434.00,435.00,428.00,430.25,432.169566803768077484,301480,7278,130290481.00,88619,29.39,7.00,-3.75
11-July-2022,438.85,441.15,433.35,437.00,437.264152624642989462,852916,22398,372949592.00,369053,43.27,7.80,-1.85
8-July-2022,436.10,443.80,429.50,441.60,437.544264888854055430,816584,13938,357291646.00,196802,24.10,14.30,5.50
7-July-2022,420.00,432.90,419.20,430.80,424.862804792981041992,645110,11753,274083244.00,211644,32.81,13.70,10.80
6-July-2022,414.00,417.25,410.80,416.30,414.343463503660754819,656422,16568,271984165.00,248576,37.87,6.45,2.30
5-July-2022,415.80,418.75,410.15,412.00,415.321343089920954418,510971,11283,212217162.00,80758,15.80,8.60,-3.80
4-July-2022,411.60,415.00,404.80,408.35,408.743981871892638560,386582,9474,158013066.00,104815,27.11,10.20,-3.25
1-July-2022,411.30,414.55,402.15,412.70,407.036352057062794548,549570,12072,223694968.00,73601,13.39,12.40,1.40
30-June-2022,418.90,424.00,410.25,411.70,417.728000403565453858,852402,20243,356072183.00,232729,27.30,13.75,-7.20
29-June-2022,412.20,420.00,411.95,417.00,417.104274402488892588,384428,9294,160346562.00,53905,14.02,8.05,4.80
28-June-2022,412.00,418.00,409.10,417.05,414.941733328086615810,711556,16221,295254280.00,261868,36.80,8.90,5.05
27-June-2022,416.00,419.15,412.35,414.55,415.937609317376589953,579734,10615,241133174.00,269552,46.50,6.80,-1.45
